locus	average_fitness	sd	sem	N_insertions
SP_0793	0.953	0.248	0.033	56
SP_0794	1.005	0.060	0.009	44
SP_0795	1.012	0.106	0.012	85
SP_0796	1.007	0.081	0.016	26
SP_0797	0.932	0.115	0.015	58
SP_0798	0.866	0.067	0.027	6
SP_0799	0.891	0.105	0.023	21
SP_0800	0.965	0.048	0.013	14
SP_0801	0.990	0.074	0.007	104
SP_0802	0.956	0.083	0.009	92
SP_0803	1.005	0.059	0.030	4
SP_0804	0.982	0.079	0.020	15
SP_0805	0.916	0.096	0.027	13
SP_0806	0			0
SP_0807	0			0
SP_0815	1.033	0.037	0.026	2
